identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LANCEMODIS:908722872,29002002,TERRA/MODIS,2019-12-16 02:20:00.000000,2019-12-16 02:25:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.7831249237061,,
LANCEMODIS:909300380,29002002,TERRA/MODIS,2019-12-17 03:00:00.000000,2019-12-17 03:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.1301422119141,,
LANCEMODIS:909296003,29002002,TERRA/MODIS,2019-12-17 03:05:00.000000,2019-12-17 03:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.18064498901367,,
LAADS:5124325827,28002002,AQUA(CMR)/MODIS,2019-12-16 05:25:00.000000,2019-12-16 05:30:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.0742540359497,,
LANCEMODIS:908776279,28002002,AQUA(CMR)/MODIS,2019-12-16 05:25:00.000000,2019-12-16 05:30:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.9364681243896,,
LAADS:5124974987,28002002,AQUA(CMR)/MODIS,2019-12-17 04:30:00.000000,2019-12-17 04:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,19.7202301025391,,
LAADS:5125134438,28002002,AQUA(CMR)/MODIS,2019-12-17 06:05:00.000000,2019-12-17 06:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.52301216125488,,
LAADS:5125126563,28002002,AQUA(CMR)/MODIS,2019-12-17 06:10:00.000000,2019-12-17 06:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.6687707901001,,
LANCEMODIS:909330021,28002002,AQUA(CMR)/MODIS,2019-12-17 04:30:00.000000,2019-12-17 04:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,19.6015872955322,,
LANCEMODIS:909393114,28002002,AQUA(CMR)/MODIS,2019-12-17 06:05:00.000000,2019-12-17 06:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.52422046661377,,
LANCEMODIS:909394841,28002002,AQUA(CMR)/MODIS,2019-12-17 06:10:00.000000,2019-12-17 06:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.6686954498291,,
LANCEMODIS:909867439,29002002,TERRA/MODIS,2019-12-18 02:05:00.000000,2019-12-18 02:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.7833108901978,,
LANCEMODIS:909865629,29002002,TERRA/MODIS,2019-12-18 02:10:00.000000,2019-12-18 02:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.25441074371338,,
LAADS:5126176641,28002002,AQUA(CMR)/MODIS,2019-12-18 05:10:00.000000,2019-12-18 05:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.85597801208496,,
