identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LANCEMODIS:982182442,29002002,TERRA/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.54336834,,
LANCEMODIS:982261943,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.50687218,,
LAADS:5283460971,29002002,TERRA/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.54434109,,
LANCEMODIS:982895487,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.96773529,,
LANCEMODIS:982963872,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.21784019,,
LAADS:5285578495,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.97430706,,
LANCEMODIS:983539231,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.30975533,,
LANCEMODIS:983620656,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.70661545,,
LAADS:5287773614,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.3216114,,
LAADS:5290250614,29002002,TERRA/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.708034515,,
LAADS:5290257486,29002002,TERRA/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.26329041,,
LANCEMODIS:984257173,29002002,TERRA/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.701937675,,
LANCEMODIS:984257824,29002002,TERRA/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.27774334,,
LANCEMODIS:984323202,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.28073311,,
LANCEMODIS:984322953,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.898343086,,
LANCEMODIS:985051668,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.55848122,,
LANCEMODIS:985051004,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.05889988,,
LAADS:5292094435,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.946834564,,
LANCEMODIS:984997085,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.939992905,,
LANCEMODIS:985684945,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.11642838,,
LANCEMODIS:985750691,28002002,AQUA(CMR)/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.79828358,,
LAADS:5294352911,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.11515617,,
LANCEMODIS:986367958,29002002,TERRA/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.94507599,,
LAADS:5297180898,28002002,AQUA(CMR)/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.0184679,,
LAADS:5297473231,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.604496002,,
LAADS:5297474433,28002002,AQUA(CMR)/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.806380272,,
LANCEMODIS:986404736,28002002,AQUA(CMR)/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.98737621,,
LANCEMODIS:986456326,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.604022026,,
LANCEMODIS:986456695,28002002,AQUA(CMR)/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.806736946,,
LAADS:5296718312,29002002,TERRA/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.98199463,,
LANCEMODIS:987031918,29002002,TERRA/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.69986629,,
LANCEMODIS:987028035,29002002,TERRA/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.0092783,,
