identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version,,April,March
LANCEMODIS:961082915,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.43019581,,,,13.54336834,14.43019581
LANCEMODIS:961692956,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.54656982,,,,15.50687218,14.54656982
LAADS:5207980934,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.35744667,,,,13.54434109,12.35744667
LANCEMODIS:961154191,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.3800869,,,,12.96773529,12.3800869
LAADS:5210512825,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.24723339,,,,11.21784019,13.24723339
LANCEMODIS:961785974,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.25687027,,,,12.97430706,13.25687027
LANCEMODIS:962382996,29002002,TERRA/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.231396675,,,,15.30975533,9.231396675
LANCEMODIS:962385736,29002002,TERRA/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.733668327,,,,13.70661545,9.733668327
LAADS:5213670188,29002002,TERRA/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.250805855,,,,15.3216114,9.250805855
LAADS:5213672473,29002002,TERRA/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.751016617,,,,9.708034515,9.751016617
LAADS:5213776299,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.37289429,,,,12.26329041,11.37289429
LAADS:5213775644,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.764424324,,,,9.701937675,6.764424324
LANCEMODIS:962458765,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.41852379,,,,12.27774334,11.41852379
LANCEMODIS:962458498,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.754933357,,,,14.28073311,6.754933357
LAADS:5214793910,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.04327393,,,,7.898343086,11.04327393
LAADS:5214794506,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.328892708,,,,16.55848122,9.328892708
LANCEMODIS:963088518,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.04955578,,,,12.05889988,11.04955578
LANCEMODIS:963088505,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.363200188,,,,7.946834564,9.363200188
LAADS:5214665003,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.62603569,,,,7.939992905,7.62603569
LANCEMODIS:963062374,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.606361389,,,,13.11642838,7.606361389
LANCEMODIS:963704341,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.029346466,,,,11.79828358,9.029346466
LAADS:5217211860,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.040480614,,,,13.11515617,9.040480614
