City,Date Onset,Cases, Population ,Square km
CALOOCAN CITY,2/20/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/1/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,3/10/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/11/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/12/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,3/13/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/14/2020,6," 1,500,000.00 ",53.334
CALOOCAN CITY,3/15/2020,6," 1,500,000.00 ",53.334
CALOOCAN CITY,3/16/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,3/17/2020,7," 1,500,000.00 ",53.334
CALOOCAN CITY,3/18/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,3/19/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/20/2020,7," 1,500,000.00 ",53.334
CALOOCAN CITY,3/21/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/22/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/23/2020,6," 1,500,000.00 ",53.334
CALOOCAN CITY,3/24/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,3/25/2020,6," 1,500,000.00 ",53.334
CALOOCAN CITY,3/26/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,3/27/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,3/28/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,3/3/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/30/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,3/31/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,3/5/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/7/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,3/8/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,3/9/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/1/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/10/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/11/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,4/12/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/13/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/14/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/16/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/18/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/19/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/2/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,4/20/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/21/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/22/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/23/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/24/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/25/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,4/27/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/28/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/29/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/3/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/30/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/4/2020,4," 1,500,000.00 ",53.334
CALOOCAN CITY,4/5/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/6/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,4/7/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,4/8/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,4/9/2020,5," 1,500,000.00 ",53.334
CALOOCAN CITY,5/1/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/10/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/13/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/14/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/15/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/16/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/2/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,5/20/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/3/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/4/2020,3," 1,500,000.00 ",53.334
CALOOCAN CITY,5/5/2020,1," 1,500,000.00 ",53.334
CALOOCAN CITY,5/6/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,5/7/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,5/8/2020,2," 1,500,000.00 ",53.334
CALOOCAN CITY,5/9/2020,1," 1,500,000.00 ",53.334
CITY OF LAS PIÑAS,2/25/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/1/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/10/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/11/2020,5," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/12/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/13/2020,5," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/14/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/15/2020,4," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/16/2020,9," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/17/2020,8," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/18/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/2/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/20/2020,4," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/21/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/22/2020,4," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/23/2020,4," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/24/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/25/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/26/2020,5," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/27/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/28/2020,7," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/29/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/3/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/30/2020,10," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/31/2020,8," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/4/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/6/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/8/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,3/9/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/1/2020,7," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/11/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/14/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/15/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/16/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/18/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/19/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/2/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/20/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/23/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/24/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/27/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/28/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/3/2020,7," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/30/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/4/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/5/2020,6," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/6/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/7/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/8/2020,5," 590,000.00 ",32.69
CITY OF LAS PIÑAS,4/9/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/11/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/13/2020,2," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/14/2020,3," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/5/2020,1," 590,000.00 ",32.69
CITY OF LAS PIÑAS,5/6/2020,1," 590,000.00 ",32.69
