Date,Country,City,Specie,count,min,max,median,variance
12/31/2019,PH,Manila,pm10,13,6,41,19,1422.31
1/1/2020,PH,Manila,pm10,48,2,63,7,2265.67
1/2/2020,PH,Manila,pm10,7,2,16,2,434.76
1/3/2020,PH,Manila,pm10,45,2,32,10,1170.27
1/4/2020,PH,Manila,pm10,48,2,87,20,3633.93
1/5/2020,PH,Manila,pm10,22,2,39,17,1038.03
1/6/2020,PH,Manila,pm10,42,2,54,7,2244.3
1/7/2020,PH,Manila,pm10,47,4,121,20,6361.84
1/8/2020,PH,Manila,pm10,46,2,69,8,4165.97
1/9/2020,PH,Manila,pm10,48,2,72,9,3756.15
1/10/2020,PH,Manila,pm10,45,2,90,8,6328.62
1/11/2020,PH,Manila,pm10,39,2,62,18,2509.37
1/12/2020,PH,Manila,pm10,47,2,89,16,5398.24
1/13/2020,PH,Manila,pm10,32,4,67,28,4327.01
1/14/2020,PH,Manila,pm10,30,2,76,17,4068.23
1/15/2020,PH,Manila,pm10,48,3,63,14,2267.93
1/16/2020,PH,Manila,pm10,48,3,98,21,5078.51
1/17/2020,PH,Manila,pm10,48,2,106,21,6992.12
1/18/2020,PH,Manila,pm10,48,2,73,20,3346.22
1/19/2020,PH,Manila,pm10,48,2,85,12,5174.14
1/20/2020,PH,Manila,pm10,48,2,120,12,10899.9
1/21/2020,PH,Manila,pm10,48,2,100,11,9998.44
1/22/2020,PH,Manila,pm10,26,2,90,15,10036.6
1/24/2020,PH,Manila,pm10,22,2,198,10,19671.1
1/25/2020,PH,Manila,pm10,47,2,62,9,3798.55
1/26/2020,PH,Manila,pm10,48,2,98,23,4269.25
1/27/2020,PH,Manila,pm10,47,1,79,26,2933.25
1/28/2020,PH,Manila,pm10,48,2,100,30,7232.48
1/29/2020,PH,Manila,pm10,48,12,91,37,4752.3
1/30/2020,PH,Manila,pm10,48,7,67,22,2976.13
1/31/2020,PH,Manila,pm10,48,3,81,26,4061.49
2/1/2020,PH,Manila,pm10,48,2,88,15,4659.78
2/2/2020,PH,Manila,pm10,48,2,53,6,2213.36
2/3/2020,PH,Manila,pm10,48,2,55,8,1601.42
2/4/2020,PH,Manila,pm10,48,2,79,16,4377.23
2/5/2020,PH,Manila,pm10,48,3,58,15,3051.45
2/6/2020,PH,Manila,pm10,47,2,45,6,1253.8
2/7/2020,PH,Manila,pm10,48,2,111,12,5264.24
2/8/2020,PH,Manila,pm10,47,1,42,5,948.94
2/9/2020,PH,Manila,pm10,46,1,83,5,1981.07
2/10/2020,PH,Manila,pm10,48,3,64,10,1768.51
2/11/2020,PH,Manila,pm10,48,5,145,16,10526.3
2/12/2020,PH,Manila,pm10,47,2,80,12,4689.48
2/13/2020,PH,Manila,pm10,48,1,68,16,5019.14
2/14/2020,PH,Manila,pm10,48,2,88,11,7297.87
2/15/2020,PH,Manila,pm10,48,2,108,12,8962.12
2/16/2020,PH,Manila,pm10,45,1,83,19,6659.07
2/17/2020,PH,Manila,pm10,46,1,87,8,4075.75
2/18/2020,PH,Manila,pm10,47,2,78,6,4479.5
2/19/2020,PH,Manila,pm10,48,2,81,9,3848.47
2/20/2020,PH,Manila,pm10,48,2,57,11,2224.25
2/21/2020,PH,Manila,pm10,47,2,71,10,4348.57
2/22/2020,PH,Manila,pm10,48,2,61,11,3937.38
2/23/2020,PH,Manila,pm10,48,2,60,7,2793.97
2/24/2020,PH,Manila,pm10,45,2,120,8,5717.45
2/25/2020,PH,Manila,pm10,48,2,60,6,3227.51
2/26/2020,PH,Manila,pm10,48,2,72,15,4471.66
2/27/2020,PH,Manila,pm10,48,2,52,7,2200.42
2/28/2020,PH,Manila,pm10,48,2,82,8,4553.47
2/29/2020,PH,Manila,pm10,48,2,86,7,7245
3/1/2020,PH,Manila,pm10,46,2,78,10,6028.1
3/2/2020,PH,Manila,pm10,48,3,85,8,5255.74
3/3/2020,PH,Manila,pm10,15,2,61,4,5699.81
3/4/2020,PH,Manila,pm10,47,2,120,10,6440.81
3/5/2020,PH,Manila,pm10,47,1,764,12,193449
3/6/2020,PH,Manila,pm10,48,2,94,12,7541.77
3/7/2020,PH,Manila,pm10,48,2,104,17,8733.29
3/8/2020,PH,Manila,pm10,47,2,109,12,5401.42
3/9/2020,PH,Manila,pm10,48,3,94,20,4069.2
3/10/2020,PH,Manila,pm10,48,5,94,35,3458.83
3/11/2020,PH,Manila,pm10,48,2,97,17,4732.48
3/12/2020,PH,Manila,pm10,48,2,67,15,3594.04
3/13/2020,PH,Manila,pm10,48,2,73,14,4291.05
3/14/2020,PH,Manila,pm10,48,2,121,16,7271.33
3/15/2020,PH,Manila,pm10,48,3,94,11,4542.82
3/16/2020,PH,Manila,pm10,47,2,55,8,1395.14
3/17/2020,PH,Manila,pm10,48,3,55,10,1529.64
3/18/2020,PH,Manila,pm10,48,3,66,11,4130.57
3/19/2020,PH,Manila,pm10,39,5,157,25,8542.91
3/20/2020,PH,Manila,pm10,47,2,83,11,5610.96
3/21/2020,PH,Manila,pm10,48,2,67,19,2960.63
3/22/2020,PH,Manila,pm10,48,2,384,7,33993.9
3/23/2020,PH,Manila,pm10,48,2,62,12,2686.95
3/24/2020,PH,Manila,pm10,48,2,67,9,3832.44
3/25/2020,PH,Manila,pm10,48,2,56,9,2983.29
3/26/2020,PH,Manila,pm10,48,2,85,12,4377.45
3/27/2020,PH,Manila,pm10,48,3,69,12,4138.08
3/28/2020,PH,Manila,pm10,48,2,71,15,4972.83
3/29/2020,PH,Manila,pm10,46,2,68,13,3409.22
3/30/2020,PH,Manila,pm10,48,2,70,18,4147.64
3/31/2020,PH,Manila,pm10,48,2,71,11,3484.18
4/1/2020,PH,Manila,pm10,48,1,62,15,2912.55
4/2/2020,PH,Manila,pm10,48,2,113,11,4759.25
4/3/2020,PH,Manila,pm10,48,2,62,13,3710
4/4/2020,PH,Manila,pm10,48,2,81,13,4813.47
4/5/2020,PH,Manila,pm10,48,2,74,19,4555.63
4/6/2020,PH,Manila,pm10,48,2,82,13,5661.68
4/7/2020,PH,Manila,pm10,48,2,104,18,5056.77
