Date,Country,City,Specie,count,min,max,median,variance
2/4/2020,PH,Baguio,dew,8,6.5,13.2,11,53.58
2/25/2020,PH,Baguio,dew,9,0,22.8,20.5,889.1
2/28/2020,PH,Baguio,dew,8,5.4,16.6,10.1,159.43
3/6/2020,PH,Baguio,dew,13,14.1,22,17.9,96.91
3/11/2020,PH,Baguio,dew,15,0,27.3,17.8,467.81
4/1/2020,PH,Baguio,dew,20,14.9,24,20,61.48
3/7/2020,PH,Baguio,dew,8,14.2,18.4,16.3,24.36
3/22/2020,PH,Baguio,dew,20,15.2,22,21,51.55
3/27/2020,PH,Baguio,dew,28,13.9,22,16.6,91.01
3/28/2020,PH,Baguio,dew,32,14.6,23,18.9,66.98
4/17/2020,PH,Baguio,dew,30,16.3,24,23,65.45
1/31/2020,PH,Baguio,dew,6,10.5,13.6,12.1,13.51
2/23/2020,PH,Baguio,dew,7,0,24,22.2,1227.31
3/14/2020,PH,Baguio,dew,16,0,50.1,17.5,1007.54
3/13/2020,PH,Baguio,dew,14,0,50.1,18.9,1110.49
4/27/2020,PH,Baguio,dew,21,17.2,24,23,45.94
5/17/2020,PH,Baguio,dew,17,23,25,24,4.85
3/19/2020,PH,Baguio,dew,23,14.6,21,19,40.65
4/18/2020,PH,Baguio,dew,20,16.6,24,23,86.6
4/19/2020,PH,Baguio,dew,27,16.5,26,23,65.2
5/4/2020,PH,Baguio,dew,24,17.6,25,23,59.63
5/19/2020,PH,Baguio,dew,15,24,26,24,6.67
5/15/2020,PH,Baguio,dew,14,22,25,24,10.38
1/21/2020,PH,Baguio,dew,24,10.1,22,20,131.94
2/29/2020,PH,Baguio,dew,8,12,16.6,14.1,30.81
3/16/2020,PH,Baguio,dew,22,14.4,22,21,72.66
3/31/2020,PH,Baguio,dew,28,16.2,21,20,22.93
4/6/2020,PH,Baguio,dew,26,16.1,22,19,29.65
4/30/2020,PH,Baguio,dew,21,15.9,24,21,43.36
5/3/2020,PH,Baguio,dew,21,17.7,26,23,68.26
5/20/2020,PH,Baguio,dew,21,23,26,25,11.33
5/24/2020,PH,Baguio,dew,18,0,26,25,347.32
2/8/2020,PH,Baguio,dew,8,15.9,17.9,16.7,5.68
3/17/2020,PH,Baguio,dew,16,14.4,21,20,58.42
3/24/2020,PH,Baguio,dew,30,16.4,24,20,43.9
4/8/2020,PH,Baguio,dew,20,14.5,24,21,89.13
4/20/2020,PH,Baguio,dew,23,18.3,25,23,47.71
5/16/2020,PH,Baguio,dew,17,23,26,25,10.96
1/11/2020,PH,Baguio,dew,16,0,50.1,16.9,1042.05
4/26/2020,PH,Baguio,dew,24,17,24,22,51.25
2/24/2020,PH,Baguio,dew,8,0,26,22.1,1199.76
3/30/2020,PH,Baguio,dew,28,13.2,23,21,71.13
1/7/2020,PH,Baguio,dew,8,11.9,17.7,12.4,56.71
4/13/2020,PH,Baguio,dew,29,15.7,24,22,71.81
5/26/2020,PH,Baguio,dew,20,24,27,25,8.52
1/16/2020,PH,Baguio,dew,26,0,50.1,21,648.82
1/17/2020,PH,Baguio,dew,19,0,50.2,21,871.98
1/19/2020,PH,Baguio,dew,16,0,50.1,15.8,1111.06
3/8/2020,PH,Baguio,dew,15,0,50.1,18.1,1088.51
4/23/2020,PH,Baguio,dew,27,17.2,25,23,53.1
5/18/2020,PH,Baguio,dew,16,24,27,25,7.83
1/6/2020,PH,Baguio,dew,8,12.3,16.7,13.4,27.83
2/6/2020,PH,Baguio,dew,7,12.6,15.5,14.5,12.48
3/29/2020,PH,Baguio,dew,24,12.2,23,20,92.01
3/3/2020,PH,Baguio,dew,15,12.7,20,19,32.63
4/2/2020,PH,Baguio,dew,18,13.2,24,21,106.38
4/4/2020,PH,Baguio,dew,26,15.7,23,20,34.34
5/11/2020,PH,Baguio,dew,23,22,26,24,9.29
3/15/2020,PH,Baguio,dew,13,0,26.5,15.7,506.62
1/3/2020,PH,Baguio,dew,7,11,16.8,12.7,44.59
1/10/2020,PH,Baguio,dew,13,0,50.1,16.9,1283.39
1/27/2020,PH,Baguio,dew,8,12.2,15.2,13.7,10.33
2/2/2020,PH,Baguio,dew,7,10.5,13.6,12.1,18.6
2/27/2020,PH,Baguio,dew,8,12,16.9,14.6,22.74
3/2/2020,PH,Baguio,dew,25,12.8,22,19,75.22
3/12/2020,PH,Baguio,dew,16,0,24.1,17.4,515.9
3/26/2020,PH,Baguio,dew,36,12.7,21,19,86.27
4/5/2020,PH,Baguio,dew,24,15.8,22,18.7,40.41
4/12/2020,PH,Baguio,dew,27,15.8,24,23,91.05
5/22/2020,PH,Baguio,dew,20,0,26,25,590.55
5/23/2020,PH,Baguio,dew,22,24,50.1,25,291.14
1/14/2020,PH,Baguio,dew,28,0,50.1,20,612.54
2/21/2020,PH,Baguio,dew,4,0,23.8,18.3,1201.82
3/4/2020,PH,Baguio,dew,9,15.7,21,20,26.63
